Compatibility*,0BSD,AFL-2.0,AFL-2.1,AFL-3.0,AGPL-3.0-only,AGPL-3.0-or-later,Apache-1.0,Apache-1.1,Apache-2.0,Artistic-1.0,Artistic-1.0-Perl,Artistic-2.0,BSD-1-Clause,BSD-2-Clause,BSD-2-Clause-Patent,BSD-3-Clause,BSD-4-Clause,BSD-4-Clause-UC,BSD-Source-Code,BSL-1.0,CC0-1.0,CDDL-1.0,CDDL-1.1,CPL-1.0,EFL-2.0,EPL-1.0,EPL-2.0,EUPL-1.1,EUPL-1.2,FSFAP,FSFULLR,FTL,GPL-1.0-only,GPL-1.0-or-later,GPL-2.0-only,GPL-2.0-only WITH Classpath-exception-2.0,GPL-2.0-or-later,GPL-3.0-only,GPL-3.0-or-later,HPND,IBM-pibs,ICU,IJG,IPL-1.0,ISC,Info-ZIP,LGPL-2.1-only,LGPL-2.1-or-later,LGPL-3.0-only,LGPL-3.0-or-later,Libpng,MIT,MIT-CMU,MPL-1.1,MPL-2.0,MPL-2.0-no-copyleft-exception,MS-PL,MS-RL,MirOS,NBPL-1.0,NTP,OSL-3.0,OpenSSL,PHP-3.01,PostgreSQL,Python-2.0,Qhull,RSA-MD,Sleepycat,SunPro,UPL-1.0,Unicode-DFS-2015,Unicode-DFS-2016,Unlicense,W3C,W3C-19980720,W3C-20150513,WTFPL,X11,XFree86-1.1,ZPL-2.0,Zlib,blessing,bzip2-1.0.5,bzip2-1.0.6,curl,libtiff,zlib-acknowledgement
HPND,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Same,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
IBM-pibs,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Same,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ICU,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Same,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
IJG,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Same,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
IPL-1.0,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Unknown,No,No,No,No,No,No,No,Unknown,Yes,Yes,Unknown,Same,Yes,Unknown,No,No,No,No,Yes,Yes,Unknown,No,No,No,Unknown,No,Unknown,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown
ISC,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Same,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Info-ZIP,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Same,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
LGPL-2.1-only,Unknown,Unknown,Unknown,Unknown,Check dependency,Check dependency,No,No,No,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,No,No,No,Yes,No,Check dependency,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Unknown,Yes,Yes,No,No,Yes,Unknown,Same,Yes,No,No,Yes,Yes,Unknown,No,Yes,No,Unknown,No,Unknown,Unknown,Yes,No,No,Unknown,Unknown,No,Unknown,Unknown,No,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No
LGPL-2.1-or-later,Unknown,Unknown,Unknown,Unknown,Check dependency,Check dependency,No,No,No,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,No,No,No,Yes,No,Check dependency,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Unknown,Yes,Yes,No,No,Yes,Unknown,No,Same,No,No,Yes,Yes,Unknown,No,Yes,No,Unknown,No,Unknown,Unknown,Yes,No,No,Unknown,Unknown,No,Unknown,Unknown,No,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No
LGPL-3.0-only,Unknown,Unknown,Unknown,Unknown,Check dependency,Check dependency,No,No,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,No,No,No,Yes,No,Check dependency,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Unknown,Yes,Yes,No,No,Yes,Unknown,No,Yes,Same,Yes,Yes,Yes,Unknown,No,Yes,No,Unknown,No,Unknown,Unknown,Yes,No,No,Unknown,Unknown,No,Unknown,Unknown,No,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No
LGPL-3.0-or-later,Unknown,Unknown,Unknown,Unknown,Check dependency,Check dependency,No,No,Yes,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Yes,No,No,Unknown,Yes,Yes,No,No,No,Yes,No,Check dependency,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Unknown,Yes,Yes,No,No,Yes,Unknown,No,Yes,No,Same,Yes,Yes,Unknown,No,Yes,No,Unknown,No,Unknown,Unknown,Yes,No,No,Unknown,Unknown,No,Unknown,Unknown,No,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No
Libpng,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Same,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MIT,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Same,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MIT-CMU,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Same,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MPL-1.1,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Unknown,No,No,No,No,No,No,No,Unknown,Yes,Yes,Unknown,No,Yes,Unknown,No,No,No,No,Yes,Yes,Unknown,Same,No,No,Unknown,No,Unknown,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown
MPL-2.0,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Unknown,No,No,No,No,No,No,No,Unknown,Yes,Yes,Unknown,No,Yes,Unknown,No,No,No,No,Yes,Yes,Unknown,No,Same,No,Unknown,No,Unknown,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown
MPL-2.0-no-copyleft-exception,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Unknown,No,No,No,No,No,No,No,Unknown,Yes,Yes,Unknown,No,Yes,Unknown,No,No,No,No,Yes,Yes,Unknown,No,Yes,Same,Unknown,No,Unknown,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown
MS-PL,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Unknown,No,No,No,No,No,No,No,Unknown,Yes,Yes,Unknown,No,Yes,Unknown,No,No,No,No,Yes,Yes,Unknown,No,No,No,Same,No,Unknown,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown
MS-RL,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Unknown,No,No,No,No,No,No,No,Unknown,Yes,Yes,Unknown,No,Yes,Unknown,No,No,No,No,Yes,Yes,Unknown,No,No,No,Unknown,Same,Unknown,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown
MirOS,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Same,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NBPL-1.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Same,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NTP,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Same,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
OSL-3.0,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Unknown,No,No,No,No,No,No,No,Unknown,Yes,Yes,Unknown,No,Yes,Unknown,No,No,No,No,Yes,Yes,Unknown,No,No,No,Unknown,No,Unknown,Unknown,Yes,Same,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown
OpenSSL,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Unknown,No,No,No,No,No,No,No,Unknown,Yes,Yes,Unknown,No,Yes,Unknown,No,No,No,No,Yes,Yes,Unknown,No,No,No,Unknown,No,Unknown,Unknown,Yes,No,Same,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown
PHP-3.01,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Same,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
PostgreSQL,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Same,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Python-2.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Same,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Qhull,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Same,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
RSA-MD,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Same,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sleepycat,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Unknown,No,No,No,No,No,No,No,Unknown,Yes,Yes,Unknown,No,Yes,Unknown,No,No,No,No,Yes,Yes,Unknown,No,No,No,Unknown,No,Unknown,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Same,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown
SunPro,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Same,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
UPL-1.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Same,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Unicode-DFS-2015,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Same,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Unicode-DFS-2016,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Same,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Unlicense,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Same,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
W3C,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Same,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
W3C-19980720,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Same,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
W3C-20150513,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Same,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WTFPL,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Same,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
X11,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Same,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XFree86-1.1,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Same,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
